,ticker,total_predictions,total_correct_predicions,overall_success_rate,predicted_higher_correct,total_predicted_higher,predicted_higher_success_rate
4,SBUX,30,24,0.8,13,14,0.9285714285714286
10,HPE,30,24,0.8,21,24,0.875
0,AAPL,30,23,0.7666666666666667,22,22,1.0
15,JCI,30,23,0.7666666666666667,13,17,0.7647058823529411
1,GOOG,30,22,0.7333333333333333,19,22,0.8636363636363636
9,PG,30,22,0.7333333333333333,12,16,0.75
2,DRI,30,22,0.7333333333333333,12,17,0.7058823529411765
6,KR,30,22,0.7333333333333333,1,8,0.125
3,PAYX,30,21,0.7,11,15,0.7333333333333333
16,BFIN,30,21,0.7,13,18,0.7222222222222222
8,MA,30,21,0.7,9,14,0.6428571428571429
11,CAT,30,21,0.7,6,10,0.6
13,KO,30,20,0.6666666666666666,15,19,0.7894736842105263
12,AMZN,30,19,0.6333333333333333,11,16,0.6875
7,CMI,30,19,0.6333333333333333,4,9,0.4444444444444444
5,VAC,30,19,0.6333333333333333,0,7,0.0
14,CSCO,30,17,0.5666666666666667,7,14,0.5
