Date,Low,Low_10d_ahead,RandomForest_Predicted_Low_10d_ahead,Actual_vs_Predicted_Diff %,Predicted_Higher,Actual_Higher,Prediction_Correct,ticker
2024-07-01,211.9199981689453,232.3300018310547,221.74269958496095,0.04774588866244594,True,True,True,AAPL
2024-07-02,215.10000610351562,226.63999938964844,219.2004022216797,0.03393970582428493,True,True,True,AAPL
2024-07-03,219.02999877929688,222.27000427246094,222.2770960998535,-3.1905344801631935e-05,True,True,True,AAPL
2024-07-05,221.64999389648438,223.27999877929688,224.99620208740234,-0.007627699010842789,True,True,True,AAPL
2024-07-09,226.3699951171875,222.67999267578125,213.6369044494629,0.04232924198945018,False,False,True,AAPL
2024-07-10,229.25,217.1300048828125,212.03200164794922,0.024043555667261195,False,False,True,AAPL
2024-07-11,225.77000427246094,214.6199951171875,217.49420471191405,-0.013215108873975001,False,False,True,AAPL
2024-07-15,233.08999633789062,215.75,219.80280319213867,-0.018438359899331888,False,False,True,AAPL
2024-07-16,232.3300018310547,216.1199951171875,207.6533055114746,0.04077319927490894,False,False,True,AAPL
2024-07-17,226.63999938964844,220.6300048828125,215.10940155029297,0.025664165734889093,False,False,True,AAPL
2024-07-19,223.27999877929688,217.7100067138672,211.35959991455078,0.030045509179066236,False,False,True,AAPL
2024-07-22,223.08999633789062,196.0,221.03130081176758,-0.11324776499905993,False,False,True,AAPL
2024-07-23,222.67999267578125,201.07000732421875,221.2805955505371,-0.09133466120712135,False,False,True,AAPL
2024-07-24,217.1300048828125,206.38999938964844,221.14659591674805,-0.06672766752717653,True,False,False,AAPL
2024-07-25,214.6199951171875,208.8300018310547,228.12169967651369,-0.08456757017335681,True,False,False,AAPL
2024-07-26,216.00999450683594,211.97000122070312,223.6887989807129,-0.05238884474059073,True,False,False,AAPL
2024-07-29,215.75,215.60000610351562,223.87519790649415,-0.036963414797001416,True,False,False,AAPL
2024-07-30,216.1199951171875,219.00999450683594,223.2038949584961,-0.018789548687938484,True,True,True,AAPL
2024-07-31,220.6300048828125,219.6999969482422,221.68020248413086,-0.008932712590924426,True,False,False,AAPL
2024-08-01,217.02000427246094,222.75999450683594,226.13209686279296,-0.014912090776759875,True,True,True,AAPL
2024-08-02,217.7100067138672,223.64999389648438,224.99819885253908,-0.005992069994028251,True,True,True,AAPL
2024-08-05,196.0,223.0399932861328,220.08989959716797,0.013404039414641099,True,True,True,AAPL
2024-08-08,208.8300018310547,223.89999389648438,220.5077981567383,0.015383563611364403,True,True,True,AAPL
2024-08-09,211.97000122070312,224.3300018310547,221.7077021789551,0.011827733661607146,True,True,True,AAPL
2024-08-12,215.60000610351562,223.88999938964844,221.02389877319337,0.012967378787377914,True,True,True,AAPL
2024-08-13,219.00999450683594,224.88999938964844,222.81459625244142,0.009314484652772285,True,True,True,AAPL
2024-08-14,219.6999969482422,225.67999267578125,221.3363023376465,0.01962484369829448,True,True,True,AAPL
2024-08-15,222.75999450683594,228.8800048828125,217.41099563598632,0.05275266420300501,False,True,False,AAPL
2024-08-16,223.64999389648438,227.47999572753906,219.68639663696288,0.035476020408561265,False,True,False,AAPL
2024-08-19,223.0399932861328,221.1699981689453,214.09319992065429,0.03305475489606293,False,False,True,AAPL
2024-08-21,225.0500030517578,221.52000427246094,214.2847001647949,0.033764912297059656,False,False,True,AAPL
2024-08-22,223.89999389648438,219.77000427246094,218.45259628295898,0.006030635533374647,False,False,True,AAPL
2024-08-23,224.3300018310547,216.7100067138672,213.92249710083007,0.013030465008658036,False,False,True,AAPL
2024-08-27,224.88999938964844,217.88999938964844,205.56329956054688,0.059965469786939445,False,False,True,AAPL
2024-08-29,228.8800048828125,221.91000366210938,219.6714015197754,0.010190685391208966,False,False,True,AAPL
2024-09-03,221.1699981689453,214.5,217.1407048034668,-0.012161261085787186,False,False,True,AAPL
